Nome, Idade, Sexo, RDR2
Janfeci, 37, F, Y
Debo, 79, M, N
Xegoc, 20, M, N
Ejuv, 54, M, N
Pulu, 78, F, N
Kejoc, 70, M, N
Unjo, 48, M, Y
Ises, 58, F, N
Ukuk, 57, F, Y
Iqef, 46, F, Y
Ayip, 67, F, N
Zexeni, 61, F, Y
Uvew, 73, F, Y
Alagub, 40, F, Y
Zalik, 73, F, Y
Nixi, 67, F, Y
Togiqa, 37, F, Y
Irenwe, 54, M, N
Amamu, 20, F, N
Kunwuv, 54, F, Y
Texo, 25, M, N
Wudedo, 56, M, N
Okayoska, 30, F, N
Isis, 47, M, N
Gunmi, 34, F, Y
Ogac, 61, M, Y
Osiju, 54, F, N
Nalu, 27, F, N
Noho, 46, M, N
Cokosesu, 42, F, N
Howi, 75, F, Y
Inedu, 50, F, N
Ugix, 41, F, N
Relimiw, 59, M, N
Ugoxi, 77, F, N
Ufosweb, 78, M, N
Adoya, 55, F, N
Miles, 34, M, Y
Micu, 79, F, Y
Exuminh, 29, M, Y
Nike, 40, M, N
Acoy, 44, F, N
Xexafi, 58, F, Y
Lokuy, 50, M, N
Iyesnut, 31, M, Y
Vijet, 79, F, N
Wotik, 25, F, Y
Juve, 47, M, N
Keme, 26, M, Y
Seyijo, 65, M, Y
Rewu, 69, F, N
Ijaqe, 77, M, N
Ragehi, 34, F, N
Gako, 70, M, N
Paxod, 31, F, Y
Wasagenuvu, 60, F, N
Eguy, 28, F, Y
Iyub, 25, F, Y
Izaz, 44, M, Y
Nsxiwo, 30, M, N
Omid, 50, F, N
Edano, 47, M, Y
Uriq, 73, F, N
Eqihe, 60, M, Y
Xoli, 22, F, N
Ijoy, 63, M, Y
Gezigi, 41, F, Y
Zuwa, 78, F, Y
Kefoj, 26, M, Y
Apuf, 36, F, N
Ciceyew, 32, M, N
Fuku, 41, F, Y
Mava, 51, F, Y
Ideze, 45, M, Y
Eszo, 30, M, Y
Utrot, 56, M, Y
Lolo, 41, M, Y
Aduxik, 71, M, Y
Weci, 51, F, Y
Hebuc, 37, F, Y
Huzoj, 77, M, Y
Kabi, 54, F, N
Oxibo, 21, M, Y
Obec, 35, F, N
Egul, 27, F, Y
Tivost, 69, M, Y
Zebe, 30, M, Y
Misda, 67, F, N
Mixe, 35, M, N
Eyucu, 53, F, Y
Corah, 72, F, Y
Wapur, 27, M, Y
Yaxaf, 27, F, Y
Duyudo, 45, M, N
Yiko, 31, M, N
Cewured, 70, M, Y
Ediw, 25, F, Y
Ucaqa, 37, F, N
Galefam, 22, M, Y
Apoj, 65, M, Y
Gala, 40, F, N
Guxo, 30, M, Y
Zoti, 29, F, Y
Uciso, 48, M, Y
Enhil, 58, M, N
Oyid, 55, M, Y
Laning, 30, F, N
Tadile, 35, M, N
Aqiv, 75, M, N
Eruci, 72, F, N
Odif, 29, M, Y
Efofale, 26, M, Y
Qopamabufo, 20, M, N
Axux, 76, M, Y
Iviz, 60, F, N
Omeri, 59, F, N
Sodetiget, 43, F, N
Xeqaneb, 68, M, N
Heduzaf, 63, F, Y
Dezi, 51, F, N
Asfeh, 19, M, Y
Enmi, 23, F, Y
Osuyo, 56, M, N
Ihosoz, 35, M, N
Atengoroga, 38, F, N
Muwasid, 23, F, Y
Ejog, 22, M, Y
Puqajuk, 38, F, Y
Calaruh, 36, M, Y
Ufugo, 24, M, N
Zaqa, 60, F, Y
Royociy, 76, F, N
Vude, 50, M, Y
Ocoyes, 36, F, Y
Liruc, 42, M, N
Zimo, 31, M, N
Ifeb, 75, M, N
Lijepud, 73, M, N
Usanp, 27, F, N
Togiv, 51, F, Y
Ruzojaq, 52, M, Y
Ijiro, 50, M, N
Assgo, 33, M, N
Ussey, 53, F, N
Wasov, 36, F, N
Ubos, 59, F, N
Visqip, 31, M, N
Sketu, 78, F, Y
Abizis, 28, F, Y
Noduzu, 24, F, Y
Weka, 47, F, N
Hekug, 77, M, Y
Zeqiroh, 39, M, Y
Liqa, 50, F, Y
Qunoc, 54, M, Y
Qevinmi, 55, F, N
Quzege, 75, M, Y
Ajegul, 69, F, N
Abid, 26, F, N
Ujiwosd, 68, F, N
Labev, 29, M, N
Ojihas, 77, M, N
Enec, 53, M, N
Hepe, 31, M, N
Iminuw, 22, F, N
Pusdon, 22, M, N
Ikih, 45, M, Y
Asowu, 52, F, N
Iniki, 31, F, N
Kelupr, 28, M, Y
Mali, 25, F, N
Kajur, 21, M, N
Pivo, 48, M, N
Votoz, 54, M, N
Cuhosz, 77, F, N
Qino, 70, M, N
Ivetoc, 45, F, N
Qoseteb, 26, M, Y
Incufolax, 27, F, N
Enogir, 31, M, Y
Rizo, 66, M, Y
Uruf, 56, F, N
Gepe, 49, M, Y
Eped, 71, M, N
Iwidu, 69, F, Y
Isip, 18, F, N
Pezo, 24, M, N
Amiko, 58, M, Y
Refaf, 19, F, N
Ekah, 19, F, Y
Joze, 75, M, N
Isap, 52, M, Y
Jive, 25, M, N
Kusqi, 24, F, N
Ehunga, 31, F, Y
Uyem, 60, M, Y
Fofofu, 48, F, N
Evap, 20, F, Y
Ssraqa, 63, F, N
Ibudu, 39, F, Y
Onmadem, 68, F, N
Agint, 29, F, Y
Ineri, 37, F, Y
Yecov, 59, F, Y
Witu, 21, F, Y
Ulijij, 21, F, N
Guxa, 77, F, Y
Tekoq, 56, F, Y
Owut, 43, M, Y
Ilib, 78, F, N
Ehesuzup, 37, F, Y
Obre, 26, M, N
Oqohosj, 25, M, Y
Reqi, 42, F, N
Citasx, 19, F, Y
Ekedu, 31, F, N
Efip, 56, F, Y
Ayonp, 18, F, Y
Efos, 45, M, N
Veco, 33, M, Y
Ridu, 40, F, Y
Oreq, 53, F, N
Zaso, 74, M, Y
Xetrova, 44, F, Y
Hiqod, 68, M, N
Lopa, 78, F, Y
Enaxu, 65, F, N
Amav, 18, M, N
Yamociq, 73, F, Y
Kife, 36, M, Y
Osiz, 72, F, N
Duxew, 48, F, N
Eske, 77, M, N
Upoh, 73, M, Y
Ageju, 36, F, Y
Ebissr, 61, M, Y
Mogemaj, 18, F, Y
Xatoy, 51, M, Y
Ehuk, 65, M, Y
Xawi, 45, F, N
Spomof, 25, M, Y
Jegoc, 45, F, Y
Ujuze, 53, M, N
Unduk, 49, M, Y
Azofaq, 55, F, Y
Upruj, 74, M, N
Isox, 41, M, N
Ecinuq, 65, M, Y
Linwev, 31, M, Y
Nfiba, 66, F, N
Biqo, 20, M, Y
Uniw, 23, M, Y
Zikuse, 69, M, N
Anut, 32, F, N
Nipo, 20, M, N
Epuwunn, 67, F, N
Rovog, 56, F, N
Yuriro, 45, M, Y
Xosonb, 61, M, N
Asqasc, 26, F, N
Hizep, 46, F, N
Kugonye, 49, M, Y
Moju, 32, F, N
Hole, 70, M, N
Isliwu, 18, F, Y
Cani, 59, F, N
Ehikogaf, 79, F, N
Usvabenx, 18, M, N
Wusziy, 22, M, N
Javifeg, 71, M, Y
Zewu, 36, F, Y
Yolin, 52, M, N
Pene, 53, M, Y
Solisot, 34, M, N
Qafi, 26, F, N
Asbo, 62, M, N
Fejeda, 73, F, Y
Kante, 66, M, Y
Eciyox, 30, M, N
Ehup, 20, F, N
Icux, 38, M, Y
Ikep, 51, F, Y
Kuhuvi, 73, F, N
Kukuya, 78, F, N
Dadu, 18, F, N
Iwuxay, 36, M, Y
Ubiw, 79, M, Y
Gopi, 60, F, Y
Wigipu, 57, F, N
Neli, 20, F, Y
Jomu, 30, F, Y
Qugob, 68, M, Y
Ahapr, 73, F, N
Qura, 44, F, Y
Niri, 25, F, Y
Uguf, 36, F, Y
Asxi, 57, F, N
Yudog, 57, M, N
Oxitr, 68, M, N
Udife, 78, M, N
Quhuta, 50, F, Y
Ifaqi, 44, F, Y
Aqamav, 69, M, Y
Utazadehu, 68, F, Y
Alun, 64, F, N
Dono, 20, M, Y
Ohov, 59, F, N
Valawey, 77, F, N
Dicuve, 41, M, Y
Sale, 77, M, Y
Eraz, 68, M, Y
Ihol, 33, M, N
Boyipi, 46, F, Y
Papal, 18, F, N
Umisew, 35, F, Y
Imuj, 43, F, N
Nsavak, 79, F, Y
Eqevo, 30, M, N
Jajehu, 36, F, N
Ejiyob, 20, F, Y
Japa, 78, F, N
Lajo, 29, M, N
Qumi, 57, F, Y
Adig, 33, F, Y
Onesgol, 54, M, Y
Ohame, 38, M, Y
Nopu, 62, F, N
Ohiy, 75, M, Y
Ozeyu, 79, F, N
Hene, 68, M, Y
Kepa, 41, F, Y
Bisesedifo, 18, M, Y
Vako, 43, M, N
Ogenn, 68, M, Y
Enqosy, 74, F, Y
Avetru, 46, F, Y
Gibu, 30, F, Y
Epri, 67, F, Y
Oyij, 38, F, Y
Asbiz, 49, F, N
Esunek, 63, M, Y
Rovohexo, 44, M, Y
Ofec, 48, F, Y
Juruwimi, 62, F, Y
Taman, 22, F, Y
Elubiy, 67, F, Y
Oceg, 71, M, N
Atri, 46, F, Y
Kaguhewi, 79, F, N
Unox, 72, F, N
Guxuwo, 52, M, Y
Jufu, 35, F, N
Sibe, 75, M, Y
Ariq, 60, M, Y
Ives, 52, F, N
Weyaw, 62, F, N
Npasxu, 26, F, Y
Suwuv, 68, F, Y
Binup, 66, M, N
Elovoko, 63, M, Y
Produ, 19, F, N
Abowo, 24, M, N
Ahusu, 78, F, Y
Udek, 78, M, N
Gazawob, 73, M, Y
Qimudebef, 60, M, N
Xomus, 58, F, N
Felo, 68, M, Y
Wacu, 31, F, N
Qoru, 61, F, N
Ondal, 63, F, N
Yocoku, 69, F, N
Koje, 36, M, N
Fuqed, 66, F, Y
Eliw, 52, F, Y
Azole, 64, M, N
Butaxuv, 26, M, N
Wiho, 19, M, N
Peno, 49, M, Y
Yopi, 30, F, N
Ugabi, 46, F, Y
Eqaqo, 64, M, Y
Epec, 79, F, N
Acog, 35, M, Y
Ensin, 53, F, N
Etas, 69, F, N
Nena, 66, F, N
Anka, 59, F, Y
Fawuta, 55, F, N
Upev, 73, F, Y
Ayip, 19, F, Y
Elof, 30, M, Y
Ujog, 56, F, N
Vondim, 41, M, Y
Mawotik, 74, M, N
Yescofa, 36, F, Y
Otenwos, 62, F, N
Ivaxet, 64, M, N
Dovi, 52, F, Y
Nukix, 33, F, Y
Mavu, 73, F, Y
Eqip, 39, M, N
Zuro, 69, M, Y
Uwiju, 52, F, Y
Awukonoke, 18, M, Y
Noli, 26, F, N
Piku, 38, F, Y
Dutev, 78, F, N
Eroj, 36, M, N
Cogan, 50, F, N
Itamef, 51, F, N
Loditiyo, 35, M, Y
Sposif, 55, F, Y
Ehib, 50, F, N
Ospuq, 31, F, N
Amuyo, 18, M, Y
Anahus, 63, F, Y
Igibug, 50, M, Y
Opesnc, 36, M, Y
Luvapace, 49, M, Y
Uhuyukato, 27, M, N
Imov, 34, F, N
Cudatequ, 39, F, N
Awecu, 74, F, N
Ugat, 51, F, N
Oxodut, 33, F, N
Webe, 71, M, N
Vemixay, 39, M, N
Evutr, 33, F, Y
Holi, 32, F, Y
Femah, 38, F, Y
Yezonj, 29, M, N
Ukiq, 44, M, Y
Racasss, 47, F, N
Isncevi, 74, F, N
Ayiqeh, 72, M, Y
Husiwog, 42, M, Y
Hugo, 35, M, Y
Mamav, 71, F, N
Brivop, 30, F, N
Otec, 26, M, N
Conulud, 65, F, N
Ugoy, 75, M, N
Ecape, 77, M, Y
Jaziley, 27, F, N
Mediyo, 58, M, Y
Neziz, 76, M, Y
Sixe, 63, M, Y
Urot, 49, M, N
Ajalu, 71, F, N
Avelu, 33, F, Y
Xinkep, 40, F, Y
Gahit, 78, F, N
Vemetuq, 42, F, Y
Ruqe, 74, M, Y
Mutide, 60, M, Y
Jahe, 57, M, N
Fuzal, 56, M, Y
Nezo, 59, M, Y
Sari, 29, F, Y
Jalas, 26, F, N
Oszoven, 28, F, N
Qatoco, 54, M, Y
Legi, 52, F, Y
Ihiboh, 40, M, Y
Unfo, 56, M, Y
Wunnca, 22, F, Y
Zicaji, 21, F, N
Naze, 79, M, Y
Sumot, 32, M, Y
Asudinkalu, 44, F, N
Epurand, 73, M, Y
Riki, 60, F, N
Onafef, 26, F, Y
Kexe, 77, M, N
Agesp, 72, F, N
Ukek, 58, M, N
Enep, 37, F, N
Ivabo, 63, M, N
Ohiz, 69, F, Y
Qadu, 63, F, N
Ohut, 28, M, N
Reqo, 67, M, N
Iwer, 59, M, Y
Iwana, 49, F, Y
Qisxoc, 29, M, N
Axul, 32, M, N
Sodod, 67, M, Y
Elida, 64, F, Y
Ovozonf, 62, M, N
Oraf, 36, M, N
Eqez, 28, F, Y
Apar, 21, F, Y
Rawa, 54, F, Y
Kika, 38, F, N
Ezunxu, 36, F, Y
Igov, 73, F, Y
Aqoq, 61, F, N
Yofo, 30, M, Y
Ubobo, 68, M, Y
Apim, 36, F, N
Payug, 20, F, N
Ejanx, 71, F, N
Ogiq, 55, F, Y
Sdobab, 27, M, N
Onufa, 70, F, Y
Isqa, 75, F, Y
Usce, 35, M, Y
Nuhacoy, 49, F, Y
Tila, 69, F, Y
Edad, 73, M, N
Yetuta, 53, F, Y
Nqiwu, 35, F, Y
Ehev, 43, M, Y
Ceyiq, 72, M, Y
Qoqom, 58, F, Y
Uwiges, 34, M, Y
Himifesa, 43, F, N
Okegiy, 56, F, N
Esoh, 25, M, N
Abusda, 77, F, Y
Wodi, 35, F, Y
Kuxa, 62, F, N
Wucu, 29, F, N
Wohe, 63, M, Y
Zijil, 74, F, N
Ozab, 61, M, Y
Ijica, 67, F, Y
Ojugunequp, 22, F, Y
Pepive, 59, M, Y
Ewepu, 58, F, N
Isoha, 29, F, Y
Oqimulur, 75, F, N
Adeta, 75, F, Y
Ukal, 18, M, Y
Vemon, 40, F, Y
Avixu, 22, F, Y
Qeka, 56, F, Y
Etef, 25, F, N
Usezuj, 61, F, N
Asaq, 53, M, N
Urewu, 59, F, N
Ihej, 43, F, N
Ijaq, 36, F, Y
Pugu, 76, F, Y
Efiq, 79, F, Y
Keto, 64, M, Y
Liza, 73, F, Y
Vorinag, 43, M, N
Ofejif, 51, F, Y
Zoni, 30, F, Y
Dajanid, 41, F, Y
Ifol, 37, M, Y
Umijo, 79, M, Y
Revefuk, 47, M, N
Rupe, 29, M, N
Zeyola, 46, F, N
Azep, 19, M, Y
Xipu, 51, F, N
Jofub, 36, F, Y
Itoprub, 70, M, N
Agawed, 53, M, N
Nuru, 76, F, N
Cibiqigic, 75, F, N
Inagi, 39, F, Y
Kozi, 30, F, Y
Foti, 68, F, N
Ziwi, 41, F, Y
Ilot, 57, M, N
Udiw, 52, M, N
Ugiz, 33, F, Y
Asul, 19, M, N
Lupi, 45, F, N
